tb_displayname,log_datetime,log_date,tb_name,PowActNet_max,PowActNet_avg,Reactive_Power_min,Wind_Speed_min,Wind_Speed_max,Wind_Speed_Avg,Produced_Energy,Gea_BeaTem1_max,Gea_BeaTem_avg,Gea_BeaTem2_max,Gea_BeaTem2_avg,Gen_BeaDe_tem_max,Gen_BeaDe_Tem_avg,Gen_BeaNdeTem_max,Gen_BeaNdeTem_avg,Gea_BeaTem3_max,Gea_BeaTem3_ave,Con_LscIgbTemFilMax_max,Con_LscIgbTemFilMax_ave,Con_GscIgbTemFilMax_max,Con_GscIgbTemFilMax_ave,PlcInf_PowCrvVld_min
GGM107,01-12-2024 02:40,01-12-2024,GGM107,1455.36792,1330.226685,11.71875,7.039999962,10.89999962,8.859930038,221.7044373,52.95339203,52.76047897,61.46714783,61.26094055,53.56196594,53.07756042,55.1465416,54.14633942,65.75340271,65.45987701,57,53.98933411,48,44.09133148,3
GGM107,01-12-2024 02:50,01-12-2024,GGM107,1533.884155,1383.904419,16.29638672,6.460000038,11.59000015,9.151143074,230.7660675,53.02515793,52.89428711,61.65948486,61.53798294,53.84246063,53.45930862,55.27593994,54.23455048,66.05091095,65.74852753,57,54.07679367,47,44.16374969,3
GGM107,01-12-2024 03:00,01-12-2024,GGM107,1611.060791,1499.154175,55.84716797,7.150000095,11.78000069,9.570304871,249.6924591,53.29192352,53.10183716,61.89019012,61.77161789,54.41978073,53.89631653,55.44075394,54.42586899,66.33042145,66.0561676,58,54.86057281,48,44.6547699,3
GGM107,01-12-2024 03:10,01-12-2024,GGM107,1625.72583,1477.945923,35.70556641,7.03000021,11.93000031,9.676353455,246.4474792,53.49199295,53.32666397,62.07635498,61.97236252,54.55585861,54.2817955,55.65493774,54.56050491,66.51267242,66.32289124,59,54.97301483,49,44.88589096,3
GGM107,01-12-2024 03:20,01-12-2024,GGM107,1438.755127,1209.244995,-26.55029297,6.5,11.10999966,8.674203873,201.372879,53.50506973,53.39313889,62.13879776,62.08150864,55.02528,54.61214828,55.8043251,54.65425491,66.51753235,66.28855896,57,53.4413681,48,43.34762192,3
GGM107,01-12-2024 03:30,01-12-2024,GGM107,1069.296265,960.3411255,-56.94580078,6.28000021,10.57999992,7.957888603,160.0835266,53.33088303,53.12845993,62.04538727,61.81023788,55.33098221,54.98070908,56.02185059,54.69663239,66.2980423,65.90658569,55,51.89718246,45,40.58190155,3
GGM107,01-12-2024 03:40,01-12-2024,GGM107,1015.526245,862.234314,-71.77734375,6.150000095,9.229999542,7.475714207,143.6817627,53.07173538,52.84990692,61.5790596,61.31114197,55.1065712,54.77368927,56.0247612,54.65916061,65.68674469,65.43270111,55,51.3610611,44,40.00216675,3
GGM107,01-12-2024 03:50,01-12-2024,GGM107,922.7209473,830.1540527,-77.81983185,6.130000114,8.819999695,7.452723026,138.3820648,52.71704865,52.60332489,61.05081558,60.83854294,54.74939346,54.29824066,55.26490784,54.23324966,65.32363892,64.88244629,54,51.9091835,43,40.71138,3
GGM107,01-12-2024 04:00,01-12-2024,GGM107,1043.676392,886.0698853,-64.27001953,6.039999962,9.349999428,7.634114742,147.8013763,52.56209183,52.38331604,60.63121033,60.44037247,54.22585678,53.82679367,54.81412506,53.89069748,64.83970642,64.64666748,55,52.1861763,44,40.85212326,3
GGM107,01-12-2024 04:10,01-12-2024,GGM107,1147.542358,984.460144,-53.28369141,5.480000019,9.840000153,7.902149677,163.858078,52.34431076,52.23750687,60.30957413,60.22658539,53.75485229,53.32329178,54.66187286,53.54109573,64.94315338,64.58264923,55,51.55039978,44,40.20727539,3
GGM107,01-12-2024 04:20,01-12-2024,GGM107,1425.451294,1127.251831,-45.04394531,6.289999962,10.71000004,8.21642971,188.032196,52.34778214,52.19896698,60.44761658,60.25659943,53.10673523,52.73343658,54.4500885,53.46925354,64.93040466,64.66494751,56,53.27577209,46,42.70724487,3
GGM107,01-12-2024 04:30,01-12-2024,GGM107,1492.09314,1250.168457,-7.690429688,6.519999981,11.11999989,8.554544449,208.3961334,52.44134521,52.31827164,60.90937042,60.68038177,52.87251282,52.56048965,54.73872757,53.63584518,65.19900513,64.9045105,56,53.82269669,47,43.87918854,3
GGM107,01-12-2024 04:40,01-12-2024,GGM107,1365.37146,1148.841064,-29.47998047,6.340000153,10.46000004,8.367566109,191.5692444,52.48205185,52.3535881,60.99446106,60.93373871,53.26783371,52.90827942,54.64541245,53.67470169,65.1914978,65.04244995,56,53.46626663,47,43.06246948,3
GGM107,01-12-2024 04:50,01-12-2024,GGM107,1298.305054,1072.387695,-37.71972656,5.610000134,10.02000046,8.219669342,178.492981,52.4797821,52.35536194,61.00416946,60.91311264,53.48678207,53.12537766,54.74052429,53.83219528,65.53821564,65.06665802,55,52.11031342,46,41.16221619,3
GGM107,01-12-2024 05:00,01-12-2024,GGM107,1216.491333,1050.859497,-51.81884766,6.119999886,10.90999985,8.207307816,175.1140594,52.3441658,52.26404953,60.7985878,60.69505692,53.41065216,53.17025375,54.70100403,53.72404861,65.13605499,64.84522247,56,52.1171875,46,41.11985397,3
GGM107,01-12-2024 05:10,01-12-2024,GGM107,1170.65271,1034.645874,-51.45263672,6.079999924,10.73999977,7.921124935,172.4697418,52.29332733,52.21606827,60.63288498,60.53798294,53.38244629,53.09791946,54.78498077,53.73718643,65.02528381,64.75226593,56,52.48508453,45,41.45508957,3
GGM107,01-12-2024 05:20,01-12-2024,GGM107,1198.611084,1060.065552,-41.56494141,6.090000153,10.82999992,7.864004135,176.6481476,52.23737717,52.13563919,60.46156311,60.3946228,53.27685165,52.87391281,54.81513214,53.45695114,64.93157196,64.6493454,55,53.11635208,45,42.36922836,3
GGM107,01-12-2024 05:30,01-12-2024,GGM107,1131.144775,1032.893555,-55.29785156,5.579999924,10.05000019,7.906619072,172.1776276,52.23508072,52.13072968,60.45058441,60.40061951,52.83472824,52.59531784,54.36872864,53.39120865,64.9704361,64.6842804,54,52.0709877,43,41.0773201,3
GGM107,01-12-2024 05:40,01-12-2024,GGM107,1182.321655,1010.21991,-56.94580078,5.929999828,10.02999973,7.909701824,168.482193,52.10647202,52.0279007,60.31560898,60.16641235,52.77293777,52.38573074,54.17671967,53.27481461,64.68788147,64.37853241,55,51.93354416,44,40.88174438,3
GGM107,01-12-2024 05:50,01-12-2024,GGM107,1173.392334,944.7888794,-74.70703125,5.619999886,10.19999981,7.823416233,157.4118347,52.03770065,51.92990112,60.13505936,59.9764328,52.43257141,52.08911896,54.10247421,53.03556824,64.69717407,64.37773132,54,52.49666595,44,41.42647552,3
GGM107,01-12-2024 06:00,01-12-2024,GGM107,1191.793335,1022.067322,-60.97412109,5.630000114,10.40999985,7.951921463,170.3730316,51.94091034,51.83267593,59.76900482,59.68127823,52.2087822,51.72964859,53.92369461,52.93218231,64.45744324,64.13967896,55,52.46875381,45,41.38010406,3
GGM107,01-12-2024 06:10,01-12-2024,GGM107,1426.717651,1204.816895,-29.11376953,6.679999828,11.60000038,8.32935524,200.9365845,51.95196152,51.84545898,60.18452835,59.87802887,51.57670212,51.22499466,53.47771072,52.75590515,64.51626587,64.27090454,55,52.78714371,45,42.46818924,3
GGM107,01-12-2024 06:20,01-12-2024,GGM107,1417.869629,1199.948975,-15.56396484,6.610000134,11.06000042,8.380002022,199.7248535,51.9900589,51.90560913,60.47566223,60.3441658,51.52793884,51.19384766,54.13497162,53.01355362,64.7381897,64.50948334,56,52.86932755,47,42.71094894,3
GGM107,01-12-2024 06:30,01-12-2024,GGM107,1450.747314,1262.592651,-0.366210938,6.430000305,10.64000034,8.599598885,210.4671783,52.05030441,51.95669174,60.77048874,60.61350632,51.78703308,51.38826752,54.28596115,53.01763153,64.86213684,64.57343292,56,53.38160324,47,43.51591492,3
GGM107,01-12-2024 06:40,01-12-2024,GGM107,1629.368042,1371.242798,15.01464844,6.630000114,12.40999985,8.86279583,228.5021973,52.18560028,52.04323578,61.04821777,60.88889694,52.203125,51.76992035,54.25125122,53.0537796,64.94625092,64.71588135,57,54.07117844,48,44.25720978,3
